shape,position,space,own,equal,newBody,sameBody,nonThunk,onlyLeft,onlyRight
#levelTree,26,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,26,merge,1,0,0,0,1,0,0
#levelTree,26,mergeSort,1253,1221,9,8,0,15,1
#levelTree,27,inputTree,255,252,0,0,1,2,0
#levelTree,27,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,27,merge,1,0,0,0,1,0,0
#levelTree,27,mergeSort,1253,1225,12,5,0,11,0
#levelTree,28,inputTree,255,250,0,0,3,2,0
#levelTree,28,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,28,merge,1,0,0,0,1,0,0
#levelTree,28,mergeSort,1253,1213,18,7,0,15,3
#levelTree,29,inputTree,255,252,0,0,1,2,0
#levelTree,29,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,29,merge,1,0,0,0,1,0,0
#levelTree,29,mergeSort,1253,1221,8,9,0,15,0
#levelTree,30,inputTree,255,252,0,0,1,2,0
#levelTree,30,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,30,merge,1,0,0,0,1,0,0
#levelTree,30,mergeSort,1253,1223,13,4,0,13,0
#levelTree,31,inputTree,255,252,0,0,1,2,0
#levelTree,31,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,31,merge,1,0,0,0,1,0,0
#levelTree,31,mergeSort,1253,1223,8,8,0,14,0
#levelTree,32,inputTree,255,252,0,0,1,2,0
#levelTree,32,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,32,merge,1,0,0,0,1,0,0
#levelTree,32,mergeSort,1253,1220,12,5,0,16,0
#levelTree,33,inputTree,255,250,0,0,3,2,0
#levelTree,33,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,33,merge,1,0,0,0,1,0,0
#levelTree,33,mergeSort,1253,1193,27,8,0,25,9
#levelTree,34,inputTree,255,251,0,0,2,2,0
#levelTree,34,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,34,merge,1,0,0,0,1,0,0
#levelTree,34,mergeSort,1253,1215,14,8,0,16,1
#levelTree,35,inputTree,255,252,0,0,1,2,0
#levelTree,35,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,35,merge,1,0,0,0,1,0,0
#levelTree,35,mergeSort,1253,1223,7,8,0,15,0
#levelTree,36,inputTree,255,252,0,0,1,2,0
#levelTree,36,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,36,merge,1,0,0,0,1,0,0
#levelTree,36,mergeSort,1253,1227,12,1,0,13,0
#levelTree,37,inputTree,255,251,0,0,2,2,0
#levelTree,37,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,37,merge,1,0,0,0,1,0,0
#levelTree,37,mergeSort,1253,1217,16,6,0,14,1
#levelTree,38,inputTree,255,252,0,0,1,2,0
#levelTree,38,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,38,merge,1,0,0,0,1,0,0
#levelTree,38,mergeSort,1253,1226,8,6,0,13,0
#levelTree,39,inputTree,255,248,0,0,5,2,0
#levelTree,39,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,39,merge,1,1,0,0,0,0,0
#levelTree,39,mergeSort,1253,1034,144,4,0,71,69
#levelTree,40,inputTree,255,251,0,0,2,2,0
#levelTree,40,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,40,merge,1,0,0,0,1,0,0
#levelTree,40,mergeSort,1253,1206,27,4,0,16,1
#levelTree,41,inputTree,255,251,0,0,2,2,0
#levelTree,41,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,41,merge,1,0,0,0,1,0,0
#levelTree,41,mergeSort,1253,1219,17,5,0,12,1
#levelTree,42,inputTree,255,252,0,0,1,2,0
#levelTree,42,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,42,merge,1,0,0,0,1,0,0
#levelTree,42,mergeSort,1253,1226,13,4,0,10,0
#levelTree,43,inputTree,255,249,0,0,4,2,0
#levelTree,43,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,43,merge,1,0,0,0,1,0,0
#levelTree,43,mergeSort,1253,1154,64,7,0,28,14
#levelTree,44,inputTree,255,252,0,0,1,2,0
#levelTree,44,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,44,merge,1,0,0,0,1,0,0
#levelTree,44,mergeSort,1253,1224,10,7,0,12,0
#levelTree,45,inputTree,255,251,0,0,2,2,0
#levelTree,45,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,45,merge,1,0,0,0,1,0,0
#levelTree,45,mergeSort,1253,1214,25,3,0,11,1
#levelTree,46,inputTree,255,252,0,0,1,2,0
#levelTree,46,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,46,merge,1,0,0,0,1,0,0
#levelTree,46,mergeSort,1253,1227,9,5,0,12,0
#levelTree,47,inputTree,255,249,0,0,4,2,0
