seed,size,pos,left,right,onlyLeft,onlyRight,equal,notEqual
22138,16,15,80,76,4,0,66,10
23871,16,15,80,76,4,0,66,10
14345,16,14,80,76,4,0,70,6
24304,16,5,80,76,4,0,66,10
27177,16,3,80,76,4,0,60,16
13151,16,12,80,76,4,0,58,18
13522,16,4,80,76,4,0,70,6
8431,16,15,80,76,4,0,66,10
777,16,14,80,76,4,0,70,6
10983,16,9,80,76,4,0,67,9
13857,16,9,80,76,4,0,67,9
9303,16,6,80,76,4,0,68,8
24729,16,5,80,76,4,0,66,10
20239,16,8,80,76,4,0,67,9
9273,16,13,80,76,4,0,70,6
11336,16,13,80,76,4,0,70,6
7393,16,12,80,76,4,0,58,18
23551,16,10,80,76,4,0,62,14
25162,16,7,80,76,4,0,67,9
25439,16,10,80,76,4,0,62,14
7554,16,2,80,76,4,0,70,6
10382,16,2,80,76,4,0,70,6
8546,16,6,80,76,4,0,68,8
4478,16,13,80,76,4,0,70,6
23266,16,15,80,76,4,0,66,10
27150,16,14,80,76,4,0,70,6
17114,16,14,80,76,4,0,70,6
22766,16,15,80,76,4,0,66,10
27234,16,8,80,76,4,0,67,9
2991,16,3,80,76,4,0,60,16
18865,16,9,80,76,4,0,67,9
23775,16,16,80,76,4,0,62,14
13713,16,16,80,76,4,0,62,14
2543,16,5,80,76,4,0,66,10
15482,16,4,80,76,4,0,70,6
558,16,8,80,76,4,0,67,9
22570,16,13,80,76,4,0,70,6
671,16,14,80,76,4,0,70,6
14442,16,6,80,76,4,0,68,8
63,16,15,80,76,4,0,66,10
2978,16,10,80,76,4,0,62,14
8102,16,6,80,76,4,0,68,8
3875,16,2,80,76,4,0,70,6
4382,16,11,80,76,4,0,67,9
9722,16,11,80,76,4,0,67,9
4654,16,15,80,76,4,0,66,10
17114,16,5,80,76,4,0,66,10
17407,16,5,80,76,4,0,66,10
13362,16,15,80,76,4,0,66,10
5055,16,15,80,76,4,0,66,10
2930,16,2,80,76,4,0,70,6
24167,16,5,80,76,4,0,66,10
14129,16,7,80,76,4,0,67,9
14160,16,4,80,76,4,0,70,6
5382,32,19,160,156,4,0,148,8
1826,32,15,160,156,4,0,146,10
25462,32,9,160,156,4,0,147,9
3546,32,6,160,156,4,0,148,8
19663,32,7,160,156,4,0,147,9
10857,32,22,160,156,4,0,145,11
19639,32,18,160,156,4,0,148,8
10962,32,20,160,156,4,0,150,6
23127,32,13,160,156,4,0,150,6
21882,32,26,160,156,4,0,148,8
254,32,14,160,156,4,0,150,6
24042,32,2,160,156,4,0,150,6
13166,32,7,160,156,4,0,147,9
3922,32,11,160,156,4,0,147,9
17838,32,13,160,156,4,0,150,6
474,32,26,160,156,4,0,148,8
22086,32,16,160,156,4,0,150,6
4690,32,26,160,156,4,0,148,8
18823,32,23,160,156,4,0,148,8
9210,32,12,160,156,4,0,138,18
4127,32,6,160,156,4,0,148,8
14002,32,17,160,156,4,0,133,23
19431,32,22,160,156,4,0,145,11
3338,32,15,160,156,4,0,146,10
19527,32,16,160,156,4,0,150,6
3802,32,27,160,156,4,0,148,8
13983,32,26,160,156,4,0,148,8
9169,32,8,160,156,4,0,147,9
7263,32,7,160,156,4,0,147,9
9634,32,10,160,156,4,0,142,14
10431,32,5,160,156,4,0,146,10
20193,32,24,160,156,4,0,143,13
12159,32,10,160,156,4,0,142,14
10786,32,32,160,156,4,0,143,13
21183,32,30,160,156,4,0,150,6
13826,32,9,160,156,4,0,147,9
23270,32,11,160,156,4,0,147,9
5451,32,32,160,156,4,0,143,13
1102,32,17,160,156,4,0,133,23
22242,32,3,160,156,4,0,138,18
24279,32,6,160,156,4,0,148,8
2802,32,25,160,156,4,0,143,13
26951,32,18,160,156,4,0,148,8
21922,32,24,160,156,4,0,143,13
25342,32,10,160,156,4,0,142,14
4915,32,19,160,156,4,0,148,8
12437,32,3,160,156,4,0,138,18
516,32,11,160,156,4,0,147,9
1965,32,2,160,156,4,0,150,6
14843,32,25,160,156,4,0,143,13
9054,32,15,160,156,4,0,146,10
21978,32,3,160,156,4,0,138,18
23855,32,18,160,156,4,0,148,8
18553,32,19,160,156,4,0,148,8
6328,32,18,160,156,4,0,148,8
26512,32,16,160,156,4,0,150,6
24777,32,18,160,156,4,0,148,8
23992,32,11,160,156,4,0,147,9
5952,32,2,160,156,4,0,150,6
14568,32,10,160,156,4,0,142,14
10160,32,31,160,156,4,0,146,10
17801,32,12,160,156,4,0,138,18
22519,32,22,160,156,4,0,145,11
20993,32,16,160,156,4,0,150,6
19280,32,28,160,156,4,0,139,17
