seed,size,pos,left,right,onlyLeft,onlyRight,equal,notEqual
3802,250,226,1250,1246,4,0,1238,8
283,250,244,1250,1246,4,0,1220,26
9169,250,182,1250,1246,4,0,1240,6
7263,250,89,1250,1246,4,0,1236,10
9634,250,245,1250,1246,4,0,1240,6
10431,250,94,1250,1246,4,0,1229,17
6493,250,190,1250,1246,4,0,1236,10
12159,250,235,1250,1246,4,0,1229,17
10786,250,176,1250,1246,4,0,1238,8
7483,250,116,1250,1246,4,0,1238,8
126,250,147,1250,1246,4,0,1235,11
9570,250,209,1250,1246,4,0,1235,11
5451,250,156,1250,1246,4,0,1234,12
1102,250,141,1250,1246,4,0,1236,10
8542,250,236,1250,1246,4,0,1211,35
10579,250,89,1250,1246,4,0,1236,10
2802,250,190,1250,1246,4,0,1236,10
13251,250,4,1250,1246,4,0,1240,6
8222,250,134,1250,1246,4,0,1213,33
11642,250,181,1250,1246,4,0,1230,16
4915,250,145,1250,1246,4,0,1240,6
12437,250,244,1250,1246,4,0,1220,26
516,250,250,1250,1246,4,0,1232,14
1965,250,25,1250,1246,4,0,1231,15
1143,250,116,1250,1246,4,0,1238,8
9054,250,133,1250,1246,4,0,1225,21
8278,250,173,1250,1246,4,0,1240,6
10155,250,174,1250,1246,4,0,1213,33
4853,250,18,1250,1246,4,0,1238,8
6328,250,8,1250,1246,4,0,1237,9
12812,250,110,1250,1246,4,0,1240,6
11077,250,217,1250,1246,4,0,1231,15
10292,250,193,1250,1246,4,0,1240,6
5952,250,237,1250,1246,4,0,1240,6
868,250,150,1250,1246,4,0,1240,6
10160,250,165,1250,1246,4,0,1240,6
4101,250,135,1250,1246,4,0,1240,6
8819,250,218,1250,1246,4,0,1232,14
7293,250,16,1250,1246,4,0,1240,6
5580,250,99,1250,1246,4,0,1240,6
3017,250,22,1250,1246,4,0,1235,11
8188,250,61,1250,1246,4,0,1235,11
5453,250,17,1250,1246,4,0,1227,19
9915,250,173,1250,1246,4,0,1240,6
8994,250,20,1250,1246,4,0,1240,6
5367,250,195,1250,1246,4,0,1240,6
545,250,143,1250,1246,4,0,1228,18
11819,250,79,1250,1246,4,0,1240,6
5609,250,248,1250,1246,4,0,1237,9
2136,250,225,1250,1246,4,0,1238,8
3165,250,242,1250,1246,4,0,1240,6
11708,250,237,1250,1246,4,0,1240,6
7125,250,124,1250,1246,4,0,1224,22
1911,250,206,1250,1246,4,0,1238,8
2674,250,66,1250,1246,4,0,1232,14
11642,250,154,1250,1246,4,0,1233,13
2195,250,141,1250,1246,4,0,1236,10
5278,250,145,1250,1246,4,0,1240,6
9987,250,144,1250,1246,4,0,1240,6
8478,250,185,1250,1246,4,0,1233,13
12119,250,46,1250,1246,4,0,1238,8
9885,250,203,1250,1246,4,0,1234,12
12671,250,147,1250,1246,4,0,1235,11
965,250,248,1250,1246,4,0,1237,9
9720,250,187,1250,1246,4,0,1237,9
6141,250,25,1250,1246,4,0,1231,15
9100,250,74,1250,1246,4,0,1240,6
677,250,206,1250,1246,4,0,1238,8
5507,250,86,1250,1246,4,0,1219,27
11338,250,25,1250,1246,4,0,1231,15
9358,250,225,1250,1246,4,0,1238,8
4923,250,23,1250,1246,4,0,1238,8
3745,250,157,1250,1246,4,0,1238,8
11588,250,116,1250,1246,4,0,1238,8
10417,250,4,1250,1246,4,0,1240,6
5382,500,54,2500,2496,4,0,2488,8
4566,500,314,2500,2496,4,0,2488,8
6282,500,273,2500,2496,4,0,2474,22
3546,500,494,2500,2496,4,0,2465,31
483,500,400,2500,2496,4,0,2488,8
2637,500,84,2500,2496,4,0,2490,6
5939,500,456,2500,2496,4,0,2482,14
2742,500,193,2500,2496,4,0,2490,6
6687,500,337,2500,2496,4,0,2485,11
8182,500,431,2500,2496,4,0,2482,14
5734,500,380,2500,2496,4,0,2483,13
2122,500,468,2500,2496,4,0,2490,6
4946,500,117,2500,2496,4,0,2487,9
1182,500,496,2500,2496,4,0,2488,8
1398,500,330,2500,2496,4,0,2490,6
3214,500,498,2500,2496,4,0,2479,17
2906,500,324,2500,2496,4,0,2474,22
1950,500,184,2500,2496,4,0,2487,9
5123,500,120,2500,2496,4,0,2488,8
990,500,71,2500,2496,4,0,2490,6
6867,500,493,2500,2496,4,0,2479,17
302,500,150,2500,2496,4,0,2490,6
2991,500,316,2500,2496,4,0,2490,6
3338,500,49,2500,2496,4,0,2488,8
347,500,136,2500,2496,4,0,2477,19
1062,500,215,2500,2496,4,0,2488,8
5763,500,483,2500,2496,4,0,2487,9
6429,500,421,2500,2496,4,0,2488,8
1783,500,331,2500,2496,4,0,2487,9
6894,500,234,2500,2496,4,0,2480,16
2211,500,337,2500,2496,4,0,2485,11
1013,500,180,2500,2496,4,0,2486,10
1199,500,473,2500,2496,4,0,2488,8
5306,500,166,2500,2496,4,0,2475,21
4743,500,107,2500,2496,4,0,2490,6
2866,500,134,2500,2496,4,0,2463,33
1350,500,192,2500,2496,4,0,2467,29
2711,500,390,2500,2496,4,0,2472,24
1102,500,383,2500,2496,4,0,2488,8
322,500,222,2500,2496,4,0,2488,8
7839,500,73,2500,2496,4,0,2482,14
5542,500,175,2500,2496,4,0,2425,71
2291,500,249,2500,2496,4,0,2486,10
2742,500,381,2500,2496,4,0,2490,6
682,500,166,2500,2496,4,0,2475,21
2175,500,134,2500,2496,4,0,2463,33
6957,500,480,2500,2496,4,0,2487,9
3256,500,495,2500,2496,4,0,2490,6
7445,500,12,2500,2496,4,0,2478,18
1143,500,357,2500,2496,4,0,2488,8
6314,500,374,2500,2496,4,0,2488,8
5538,500,409,2500,2496,4,0,2484,12
7415,500,412,2500,2496,4,0,2467,29
4853,500,267,2500,2496,4,0,2488,8
6328,500,491,2500,2496,4,0,2490,6
1852,500,105,2500,2496,4,0,2466,30
2857,500,452,2500,2496,4,0,2490,6
7552,500,180,2500,2496,4,0,2486,10
472,500,479,2500,2496,4,0,2488,8
6348,500,138,2500,2496,4,0,2490,6
5382,1000,553,5000,4996,4,0,4988,8
1826,1000,566,5000,4996,4,0,4982,14
3542,1000,770,5000,4996,4,0,4982,14
3546,1000,502,5000,4996,4,0,4988,8
3223,1000,400,5000,4996,4,0,4988,8
5377,1000,84,5000,4996,4,0,4990,6
3199,1000,707,5000,4996,4,0,4988,8
2,1000,688,5000,4996,4,0,4967,29
1207,1000,337,5000,4996,4,0,4985,11
5442,1000,174,5000,4996,4,0,4963,33
254,1000,379,5000,4996,4,0,4986,10
2122,1000,467,5000,4996,4,0,4990,6
2206,1000,868,5000,4996,4,0,4980,16
3922,1000,238,5000,4996,4,0,4985,11
1398,1000,71,5000,4996,4,0,4990,6
474,1000,494,5000,4996,4,0,4961,35
166,1000,574,5000,4996,4,0,4988,8
4690,1000,925,5000,4996,4,0,4986,10
2383,1000,360,5000,4996,4,0,4986,10
3730,1000,570,5000,4996,4,0,4984,12
4127,1000,747,5000,4996,4,0,4984,12
3042,1000,399,5000,4996,4,0,4988,8
2991,1000,570,5000,4996,4,0,4984,12
3338,1000,790,5000,4996,4,0,4986,10
3087,1000,643,5000,4996,4,0,4990,6
3802,1000,468,5000,4996,4,0,4990,6
3023,1000,236,5000,4996,4,0,4961,35
3689,1000,173,5000,4996,4,0,4990,6
1783,1000,72,5000,4996,4,0,4990,6
4154,1000,485,5000,4996,4,0,4972,24
4951,1000,91,5000,4996,4,0,4988,8
3753,1000,175,5000,4996,4,0,4925,71
1199,1000,482,5000,4996,4,0,4987,9
5306,1000,917,5000,4996,4,0,4988,8
4743,1000,102,5000,4996,4,0,4987,9
2866,1000,384,5000,4996,4,0,4988,8
1350,1000,941,5000,4996,4,0,4990,6
5451,1000,397,5000,4996,4,0,4978,18
1102,1000,138,5000,4996,4,0,4990,6
322,1000,730,5000,4996,4,0,4987,9
